"","Code","CR_2011","CR_2012","CR_2013","CR_2014","CR_2015","VC_2012","VC_2013","VC_2014","VC_2015","MedPV","PCTMale","PCTFemale","PCTAg0_4","PCTAg5_17","PCTAg18_34","PCTAg35_64","PCTAg65Pls","PCTWhite","PCTBlack","PCTAsian","PCTHispLat","PCTothRace","PCTMCFamHH","PCTMaleHH","PCTFemalHH","PCTNoFamHH","PCT15Mried","PCT15Wid","PCT15Div","PCT15Septd","PCT15Nmary","PCT3PubSch","PCT3PvtSch","PCT25LT9th","PCT25NoHSD","PCT25HSgrad","PCT25SColl","PCT25Assoc","PCT25BSc","PCT25GrPls","PCT5SEngVW","PCT5SEgNVW","PCT5Eng","PCT5NonEng","PCT_BPL","PCT_APL","PCTHHFstmp","PCTHHNFStp","PCTILForce","PCT16Emp","PCT16Unemp","PCTioAgr","PCTioCnstr","PCTioManuf","PCTioWSTrd","PCTioRtl","PCTioTrans","PCTioInfo","PCTioFin","PCTioProf","PCTioEdu","PCTioArts","PCTioOthPA","PCTioPA","PCTioOmgt","PCTioOserv","PCTioOsale","PCTioOnres","PCTioOprod","PCTtLT10m","PCTt10_29m","PCTt30_59m","PCTt61mPls","PCTmtwCar","PCTmtwDaln","PCTmtwcpol","PCTmtwpubT","PCTmtwbus","PCTmtwEL","PCTmtwRail","PCTmtwtaxi","PCTmtwmcy","PCTmtwbike","PCTmtwwalk","PCTmtwothr","PCTmtwWFHm","PCTHUOcc","PCTHUOocc","PCTHURocc","PCTHUVcnt","PCTindCr","PCTnindCr","PCTvoted","PCTvoter"
"15","BT",173396,165941,143740,125727,124088,155436,135970,131628,120481,417209,50.89,49.11,7.39,9.26,43.85,33.14,6.36,61.31,5.2,4.28,26.5,2.71,31.43,2.93,8.68,56.96,34.84,3.03,6.95,1.32,53.87,63.27,36.73,5.57,3.96,11.29,11.53,3.73,40.86,23.07,86.81,13.19,71.8,28.2,13.52,86.48,8.33,91.67,80.84,81.44,15,0.13,2.94,6.45,2.41,8.44,3.48,3.37,11.11,21.55,20.3,13.22,4.17,2.43,56.12,14.29,21.07,2.89,5.63,4.42,43.76,41.43,10.4,50.47,44.33,6.14,32.51,8.66,22.09,1.65,0.33,0.18,3.99,5.15,0.45,6.91,92.08,37.56,54.52,7.92,58.27,41.73,45.94226734,0.589397332620249
"16","BU",160271,162754,154085,134406,107754,171706,173389,154304,131779,296444,51.46,48.54,7.71,13.71,27.62,40.04,10.92,46.4,6.57,24.65,19.26,3.12,45.69,4.47,11.05,38.8,48.5,4.1,8.62,1.63,37.19,71.15,28.85,9.77,5.73,17.74,18.02,5.23,28.35,15.15,73.92,26.08,42.6,57.4,19.74,80.26,14.76,85.24,69.46,69.64,21.09,0.3,4.94,7.4,1.68,12.19,6.82,2.02,8.08,11.36,23.88,11.75,6.36,3.23,41.64,18.87,21.81,5.99,11.7,5.62,29.72,50.71,13.94,68.33,57.87,10.46,20.84,9.69,9.77,1.38,0.24,0.04,1.23,5,0.59,3.73,87.01,36.11,50.9,12.99,35.69,64.31,45.64969511,0.456770833333333
"17","BZ",161803,177856,156844,133194,117706,185078,175006,145775,135725,289747,51.05,48.95,5.18,6.28,31.64,43.87,13.04,56.08,16.47,11.52,12.07,3.86,24.06,2.38,7.56,66,32.58,6.02,9.91,1.85,49.64,62.18,37.82,5.2,5.05,13.98,15.94,4.73,33,22.09,86.73,13.27,69.57,30.43,20.84,79.16,16.65,83.35,71.16,72.34,19.68,0.13,2.06,4.74,2.03,7.64,4.51,3.77,7.88,19.28,24.33,14.11,6.69,2.82,55.26,17.65,19.69,2.17,5.24,3.87,26.6,54.49,15.05,39.91,34.16,5.75,42.59,17.92,20.98,3.13,0.28,0.22,2.73,4.84,0.93,8.49,89.91,30.64,59.27,10.09,42.79,57.21,54.99077491,0.783293590577354
"18","CB",16129,17665,16617,19872,18805,72446,57931,61053,66538,180864,46.55,53.45,5.34,15.64,30.83,32.52,15.67,13.98,65.2,13.02,4.94,2.85,17.18,3.79,29.6,49.43,19.73,9.48,9.48,4.45,56.89,55.92,44.08,10.07,14.78,28.38,19.77,5.08,12.59,9.37,88.93,11.07,80.11,19.89,38.38,61.62,39.82,60.18,52.57,53.92,24.22,0.17,2.02,5,2.22,9.04,6.36,3.11,6.79,10.31,29.39,13.03,4.69,7.88,30.1,25.05,30.56,2.62,11.67,10.51,42.67,31.96,14.85,49,39.92,9.07,30.6,19.36,10.93,0.31,0.34,0,0.6,13.93,0.5,5.03,85.39,19.6,65.79,14.61,37.48,62.52,50.39525692,0.622519390211286
"19","CG",65939,65200,62841,54607,44938,95266,87997,83922,71913,128564,47.76,52.24,8.38,23.52,27.38,33.84,6.89,3.7,33.86,0.69,61.19,0.56,39.35,9.06,27.78,23.8,35.12,4.72,7.47,2.78,49.95,90.87,9.13,20.34,14.2,34.08,18.5,4.89,6.1,1.88,71.21,28.79,41.52,58.48,29.76,70.24,32.39,67.61,62.57,62.78,23.29,0.48,7.36,16.43,3.39,11.09,7.88,1.16,3.19,11.74,16.14,12.21,6.14,2.77,11.3,28.71,22.89,11.24,25.86,2.85,31.53,47.64,17.98,74.86,58.37,16.49,19.98,14.81,4.63,0.3,0,0.05,0.62,2.28,0.09,2.11,85.3,41.74,43.56,14.7,37.27,62.73,39.44850021,0.345586216813292
"20","CH",158449,142558,123889,104026,93103,255375,235057,228068,194063,254677,48.83,51.17,5.85,10.93,34.54,38.27,10.4,30.63,18.79,34.35,13.17,3.06,30.63,3.89,10.87,54.61,38.37,5.89,7.97,1.83,45.93,64.31,35.69,9.72,6.81,17.08,12.61,4.38,24.8,24.6,77.04,22.96,53.93,46.07,19.77,80.23,14.2,85.8,71.85,73.18,19.27,0.21,2.2,6.01,3.53,6.01,3.43,1.99,10.85,15.02,26.93,15.31,4.97,3.56,51.05,18.09,21,3.54,6.32,5.34,48.92,37.31,8.42,52.96,41.87,11.09,25.83,15.74,8.6,1.26,1.77,0,1.97,10.6,1.06,5.82,86.19,38.33,47.87,13.81,46.69,53.31,49.39224634,0.453985710689875
"21","CL",77943,69717,58650,50054,48062,103279,85359,81799,78399,167989,47.85,52.15,7.04,16.44,23.72,38.66,14.14,49.56,2.95,1.23,45.3,0.95,48.86,8.11,13.33,29.7,47.17,7.5,9.08,1.57,34.7,74.61,25.39,10.66,8.9,35.22,19.87,7.64,12.02,5.7,81.43,18.57,55.11,44.89,11.39,88.61,10.43,89.57,65.58,66.13,22.21,0.19,6.09,12.16,3.37,10.08,6.83,1.64,5.89,11.58,16.8,9.47,5.7,10.2,24.36,23.5,25.28,9.53,17.33,5.9,39.09,38.44,16.57,82.57,72.41,10.16,11.22,3.75,6.98,0.49,0,0,0.33,3.52,0.46,1.9,93.09,67.21,25.87,6.91,36.39,63.61,56.1494889,0.408505771583595
"22","CN",35681,38771,34058,28673,22869,56988,54427,46053,46114,136420,49.88,50.12,8.01,19.55,23.47,39.34,9.63,37.49,27.42,5.58,28.22,1.3,38.62,8.39,21.56,31.44,37.2,6.7,9.26,4.38,42.44,76.43,23.57,8.99,17.55,34.8,21.82,4.68,7.95,4.2,87.07,12.93,76.62,23.38,28.15,71.85,33.3,66.7,63.16,64.25,22.58,0.15,2.82,11.72,5.49,8.78,8.06,0.79,8.18,11.1,17.93,12.59,5.39,7,20.85,23.29,28.04,7.27,20.55,5.46,42.97,33.59,17.99,70.07,56.15,13.91,22.9,14.74,7.84,0,0.25,0,0.68,4.12,0,1.98,80.06,36.57,43.49,19.94,41.96,58.04,46.47330257,0.814569536423841
"23","CO",33980,37885,42099,40207,40712,119382,108949,105133,97525,187677,44.74,55.26,7.93,19.05,29.86,33.33,9.84,13.55,77.87,4.25,2.37,1.96,17.48,4.04,32.27,46.22,19.82,5.85,10.95,4.14,59.24,62.11,37.89,2.58,12.43,20.58,25.53,6.73,15.15,17.03,98.02,1.98,90.57,9.43,36.41,63.59,36.74,63.26,57.51,58.77,23.72,0.12,1.48,4.83,0.81,6.92,6.34,2.9,6.76,11.21,42.75,8.03,4.23,3.63,43.69,23.36,21.16,2.46,9.33,8.3,39.44,36.78,15.48,46.5,40.8,5.71,30.41,20.41,7.76,2.21,0.62,0,1.25,15.97,0.84,4.41,76.86,19.6,57.26,23.14,38.35,61.65,51.94554615,0.58418218251649
"24","DA",99302,97490,88066,84264,83127,105568,97447,94117,91527,270650,49.64,50.36,6.27,14.44,28.67,40.23,10.39,30.25,2.74,33.94,30.45,2.61,39.79,7.12,14.68,38.41,42.3,6.23,8.51,1.94,41.04,73.3,26.7,14.09,11.09,29.79,14.75,6.49,14.7,9.06,69.87,30.13,42.79,57.21,21.2,78.8,16.43,83.57,68.42,68.63,21.47,0.35,4.21,9.74,2.83,8.17,5.32,1.55,5.06,11.35,18.21,22.09,5.58,5.55,28.6,27.84,21.93,5.94,15.69,7.74,43.26,37.48,11.51,67.8,52.31,15.48,20.75,12.51,7.33,0.77,0.03,0.06,2.06,6.4,0.8,2.12,88.98,39.63,49.36,11.02,44.72,55.28,45.87336497,0.468149673503671
