"","Code","CR_2011","CR_2012","CR_2013","CR_2014","CR_2015","VC_2012","VC_2013","VC_2014","VC_2015","MedPV","PCTMale","PCTFemale","PCTAg0_4","PCTAg5_17","PCTAg18_34","PCTAg35_64","PCTAg65Pls","PCTWhite","PCTBlack","PCTAsian","PCTHispLat","PCTothRace","PCTMCFamHH","PCTMaleHH","PCTFemalHH","PCTNoFamHH","PCT15Mried","PCT15Wid","PCT15Div","PCT15Septd","PCT15Nmary","PCT3PubSch","PCT3PvtSch","PCT25LT9th","PCT25NoHSD","PCT25HSgrad","PCT25SColl","PCT25Assoc","PCT25BSc","PCT25GrPls","PCT5SEngVW","PCT5SEgNVW","PCT5Eng","PCT5NonEng","PCT_BPL","PCT_APL","PCTHHFstmp","PCTHHNFStp","PCTILForce","PCT16Emp","PCT16Unemp","PCTioAgr","PCTioCnstr","PCTioManuf","PCTioWSTrd","PCTioRtl","PCTioTrans","PCTioInfo","PCTioFin","PCTioProf","PCTioEdu","PCTioArts","PCTioOthPA","PCTioPA","PCTioOmgt","PCTioOserv","PCTioOsale","PCTioOnres","PCTioOprod","PCTtLT10m","PCTt10_29m","PCTt30_59m","PCTt61mPls","PCTmtwCar","PCTmtwDaln","PCTmtwcpol","PCTmtwpubT","PCTmtwbus","PCTmtwEL","PCTmtwRail","PCTmtwtaxi","PCTmtwmcy","PCTmtwbike","PCTmtwwalk","PCTmtwothr","PCTmtwWFHm","PCTHUOcc","PCTHUOocc","PCTHURocc","PCTHUVcnt","PCTindCr","PCTnindCr","PCTvoted","PCTvoter"
"36","HU",84825,15947,67949,76142,76278,24562,76747,91119,92710,256562,50.14,49.86,6.81,17.81,33.11,35.05,7.22,22.79,12.23,1.62,61.36,2.01,31.89,6.71,20.24,41.15,32.52,3.91,7.65,2.29,53.61,82.55,17.45,15.08,8.81,26.99,16.95,4.92,18.31,8.94,74.71,25.29,46.16,53.84,26.6,73.4,21.74,78.26,66.42,66.92,21.97,0.23,5.84,10.92,2.55,10.19,6.05,2.41,6.33,12.84,18.96,15.27,5.72,2.7,32.88,21.04,23.09,7.13,15.87,3.48,41.42,43.27,11.83,59.51,49.48,10.02,26.13,13.82,11.3,0.74,0.01,0.21,4.44,3.71,1.5,4.5,86.51,30.4,56.11,13.49,39.49,60.51,38.65349747,0.389749502538449
"37","IN",125886,121415,111576,95965,70943,100325,77028,66164,65153,277091,50.57,49.43,7.96,15.37,30.55,37.96,8.16,34.08,3.17,6.29,54.17,2.29,41.29,7.7,12.94,38.07,41.89,4.37,7.45,2.76,43.57,80.52,19.48,14.92,9.88,24.42,15.66,4.4,19.99,10.75,68.39,31.61,39.65,60.35,17.52,82.48,13.66,86.34,71.26,71.72,20.15,0.21,4.77,10.84,1.91,10.08,6.47,2.04,6.19,13.14,17.94,16.78,6.45,3.18,30.68,24.24,21.73,6.96,16.4,3.49,35.11,47.44,13.96,61.04,51.55,9.49,28.35,10.81,15.59,1.7,0.09,0.1,1.12,4.15,0.8,4.36,90.75,36.05,54.7,9.25,46.43,53.57,45.01940853,0.372296847708559
"38","JE",123076,115937,101269,99639,95066,111314,109663,102652,95539,277890,48.85,51.15,6.02,15.14,21.71,43.95,13.18,65.03,1.53,7.22,24.12,2.09,46.65,3.8,12.61,36.94,47.64,6.12,9.49,1.52,35.29,67.38,32.62,6.43,5.76,27.38,19.16,9,21.96,10.32,82.23,17.77,53.33,46.67,11.61,88.39,10.27,89.73,69.91,70.11,20.9,0.4,6.02,9.52,2.41,9.98,6.76,2.7,7.93,12.84,19.46,8.99,7.19,5.8,32.53,22.26,23.52,8.74,12.96,4.78,34.02,47.1,14.11,75.81,65.15,10.66,16.94,6.21,7.6,3.13,0.03,0.33,0.85,1.96,0.77,3.31,92.22,54.32,37.9,7.78,41.44,58.56,48.24816847,0.641162712996993
"39","JM",18319,17437,15343,14421,11663,76182,71388,69267,72326,125843,44.87,55.13,4.89,17.31,19.87,39.81,18.11,3.41,75.95,0.23,19.39,1.02,27.93,4.28,33.88,33.91,28.35,9.59,12.93,3.31,45.83,88.78,11.22,7.4,8.79,28.82,29.98,8.15,9.56,7.33,92.79,7.21,80.9,19.1,22.05,77.95,24.4,75.6,56.45,56.67,24.46,0,3.02,8.1,2.29,7.92,11.27,2.62,7.97,9.67,28.47,6.38,5.33,6.95,29.66,27.18,24.39,3.83,14.93,5.5,30.74,37.94,25.82,73.71,61.54,12.16,21.44,17.23,0.74,3.27,0,0,0.42,1.02,0.32,3.1,88.84,59.32,29.52,11.16,37.41,62.59,50.68974844,0.795338831122266
"41","KE",17348,18651,15927,14163,12921,59981,62671,69170,61921,127419,43.27,56.73,9.71,21.69,24.98,34.01,9.61,1.9,93.35,0.55,2.45,1.75,11.36,6.88,44.31,37.45,14.22,7.36,11.09,3.93,63.44,90.84,9.16,5.37,20.33,31.5,27.74,6.7,6.25,2.1,98.26,1.74,95.95,4.05,49.28,50.72,50.59,49.41,52.12,52.57,24.72,0.12,2.13,6.08,1.23,9.03,10.03,1.86,5.89,9.59,29.76,12.53,7.38,4.37,20.81,35.9,23.03,4.29,15.97,4.35,28.99,42.75,23.91,51.02,44.46,6.56,39.61,29.7,9.21,0.48,0.28,0,0.09,3.98,0.41,4.61,68.99,15.64,53.35,31.01,35.33,64.67,43.67929864,0.519567027477102
"42","KI",36280,40645,39416,36725,33625,86875,83527,80619,73038,223593,41.57,58.43,4.59,13.83,29.54,36,16.03,8.78,78.35,8.99,1.89,1.99,14.26,1.75,23.99,60,19.79,8.58,12.52,5.5,53.66,57.93,42.07,5.02,10.44,18.72,23.61,5.96,19.72,16.54,93.91,6.09,84.92,15.08,31.56,68.44,29.21,70.79,57.41,59.82,23.07,0.11,1.71,3.93,1.43,6.13,5.5,3.18,9.54,13.9,35.24,7.03,3.96,8.33,44.72,19.11,27.22,3.05,5.89,5.34,38.59,43.47,12.6,52.95,47.69,5.26,33.89,26.92,5.88,1.08,0.24,0,0.43,7.19,0.25,5.05,86.3,18.52,67.79,13.7,42.72,57.28,59.31588976,0.707563301545544
"43","LB",194268,194225,175304,164597,151626,177687,160834,155901,149576,495881,50.2,49.8,8.97,9.69,43.18,33.18,4.97,80.54,1.51,4.35,10.89,2.71,40.39,2.36,4.63,52.63,42.88,2.11,4.68,0.5,49.82,44.94,55.06,1.57,2.3,6.86,8.98,2.71,47.38,30.22,95.8,4.2,85.93,14.07,7.98,92.02,3.03,96.97,84.85,85.08,12.66,0.07,2.12,5.85,2.6,7.94,2.16,3.52,14.25,25.42,20.51,9.01,3.93,2.62,62,9.73,23.77,1.88,2.63,3.71,33.14,51.13,12.03,51.53,44.85,6.68,34.49,5.08,28.07,1.17,0.25,0.07,1.9,4.04,0.71,7.01,90.32,43.63,46.69,9.68,58.75,41.25,53.49762405,0.538855475495742
"44","LE",18487,21379,19211,18396,15884,113541,99843,96924,87848,164311,47.17,52.83,9.54,22.93,25.06,32.88,9.6,2.02,89.43,0.19,7.86,0.5,16.54,9.67,42.35,31.45,17.32,7.59,8.51,4.21,62.36,93.52,6.48,7.55,20.51,36.27,22.91,5.74,4.7,2.32,97.43,2.57,92.84,7.16,43.5,56.5,51.9,48.1,47.49,48.49,24.46,0,2.38,9.53,2.05,11.04,12.48,2.01,5.53,10.4,28.33,8.63,4.15,3.46,19.52,28.86,26.32,3.46,21.84,6.21,32.2,40.68,20.91,57.39,51.3,6.08,31.55,28.05,3.05,0.14,0,0,0.55,3.02,4.4,3.09,77.3,21.44,55.87,22.7,26.34,73.66,42.72742559,0.571793934965291
"45","LG",155741,166815,141476,132692,127480,181891,157496,153357,145077,312308,50.6,49.4,7.04,13.5,36.39,35.26,7.81,38.14,4.34,2.31,53.28,1.93,33.73,5.66,13.91,46.7,35.47,3.87,6.97,1.77,51.92,77.21,22.79,11.38,7.12,25.62,15.08,4.24,24.65,11.9,75.67,24.33,52.44,47.56,20.25,79.75,10.96,89.04,71.24,71.83,20.07,0.13,3.97,11.1,1.79,9.62,5.27,3.24,6.9,15.16,18.03,15.6,6.68,2.5,37.79,20.4,22.25,5.93,13.63,3.01,43.17,43.42,10.4,55.41,47.8,7.61,31.08,10.43,19.41,0.96,0.18,0.12,3.62,3.68,0.87,5.04,89.52,33.32,56.2,10.48,50.51,49.49,44.6894653,0.454879186720361
"46","LI",140877,131883,121675,113381,104515,146111,128190,128311,121396,543153,50.66,49.34,6.68,8.23,49.54,28.9,6.64,80.58,3.94,5.3,7.86,2.32,34.21,1.2,3.53,61.06,35.66,2.12,4.8,0.95,56.47,28.44,71.56,1.9,1.71,4.91,6.76,2.55,45.91,36.27,96.79,3.21,87.09,12.91,11.74,88.26,3.4,96.6,78.98,79.79,15.96,0.09,2.09,4.25,2.01,7.09,2.19,3.22,16.07,29.39,19.35,8.8,3.25,2.18,64.96,8.13,23.45,1.53,1.94,5.71,44.8,38.74,10.75,42.35,37.57,4.77,39.06,8.11,29.36,1.41,0.95,0.1,2.2,6.98,1.27,7.1,92.7,44.53,48.17,7.3,61.91,38.09,54.27958409,0.527098738581992
"47","LO",75042,79020,74556,68087,62690,175853,177691,171644,149543,235021,51.56,48.44,6.69,16.98,32.89,33.81,9.63,14.69,10.78,8.8,64.52,1.22,29.71,10.09,16.24,43.97,33.17,4.71,7.6,3.48,51.04,82.89,17.11,20.84,11.66,25.95,14.31,4.87,15.26,7.1,66.98,33.02,33.13,66.87,28.06,71.94,24.23,75.77,68.13,68.64,21.37,0.24,4.42,13.91,4.02,7.88,4.85,1.41,3.91,11.01,19.41,20.05,5.94,2.94,28.12,26.48,20.17,6.57,18.67,6.31,41.59,39.22,12.88,57.98,44.78,13.21,29.59,17.64,10.25,1.04,0.29,0,3.18,5.88,0.86,2.22,87.7,25.39,62.31,12.3,39.64,60.36,38.95590575,0.46242404101785
"48","LV",42276,137397,105316,89523,78186,162471,155070,143467,138219,151239,56.88,43.12,7.53,19.58,33.18,33.5,6.2,4.8,21.4,0.35,72.84,0.61,37.17,12.44,25.24,25.15,29.16,3.52,5.55,3.38,58.4,90.7,9.3,28.79,20.22,27.85,11.31,3.79,5.4,2.65,65.06,34.94,32.36,67.64,33.7,66.3,35.83,64.17,52.71,62.62,19.7,0.14,6.21,21.86,4.64,9.52,4.85,0.78,3.08,13.36,12.98,14.67,5.75,2.17,12.59,24.84,21.3,9.69,31.58,6.64,31.27,44.86,17.23,64.09,44.75,19.34,23.3,13.22,8.69,0.74,0.02,0.05,1.57,6.73,1.86,2.37,81.02,23.65,57.37,18.98,36.08,63.92,33.9880327,0.3485813457313
"49","MA",66018,72003,78316,68141,54234,71208,73445,74554,61646,282193,49.55,50.45,6.61,16.34,22.52,43.02,11.52,46.58,3.08,15.1,32.8,2.44,49.47,4.63,12.86,33.04,50.35,5.22,8.83,1.77,33.89,70.65,29.35,9.76,7.1,22.79,16.45,6.92,23.72,13.29,74.53,25.47,43.72,56.28,13.27,86.73,11.41,88.59,69.84,70.05,20.92,0.47,5.72,10.79,2.09,9.93,6.3,2.7,5.92,14.15,21.11,11.52,5.46,3.82,35.65,22.37,20.86,7.67,13.46,4.67,34.47,45.9,14.96,67.72,57.37,10.36,21.84,8.75,10.24,2.71,0.15,0.05,0.84,3.02,1.06,5.31,92,51.99,40.01,8,47.81,52.19,50.65823934,0.515870442426863
"50","MC",101381,103679,91012,81179,72635,120318,110391,111008,97104,194082,58.17,41.83,6.46,16.41,33.55,36.55,7.04,14.11,16.32,10.75,57.88,0.94,42.39,9.09,19.39,29.13,32.97,4.32,6.6,3.3,52.8,86.06,13.94,20.27,19.09,30.67,13.5,3.91,8.24,4.32,71.07,28.93,38.33,61.67,22.75,77.25,23.13,76.87,51.58,64.97,18.07,0.46,5.31,14.41,5.97,10.06,5.18,1.11,4.98,12.02,13.57,18.72,5.69,2.54,19.25,25.18,23.39,8.95,23.23,5.77,37.14,43.07,14.01,66.01,49.74,16.28,24.78,14.22,9.71,0.71,0,0,1.66,4.97,0.41,2.16,85.01,39.97,45.04,14.99,44.81,55.19,39.05052645,0.371645557896687
"51","ME",127160,122224,106150,99051,91474,126589,105628,110383,108022,364458,49.86,50.14,3.87,4.63,53.67,29.42,8.4,79.5,3.5,7.28,6.83,2.89,20.23,1.29,2.08,76.41,27.41,2.14,6.04,0.78,63.64,34.04,65.96,0.56,1.48,6.04,8.95,3.31,45.52,34.14,96.21,3.79,83.86,16.14,12.81,87.19,2.66,97.34,81.54,82.13,14.57,0.21,1.12,4.06,1.75,6.46,2.75,3.32,13.12,29.12,22.12,9.76,4.18,2.03,64.06,9.36,23.17,0.88,2.53,4.23,36.89,48.25,10.63,31.06,26.91,4.15,52.22,27.99,23.26,0.72,0.88,0.05,2.07,6.63,0.67,6.43,91.05,31.34,59.71,8.95,54.42,45.58,57.92077877,0.472984660781969
"52","MM",44701,39005,32941,33834,33295,95948,98194,103462,110116,265260,49.07,50.93,6.3,16.05,35.2,33.69,8.77,24.95,51.47,5,17.19,1.4,20.94,6.19,18.69,54.17,23.43,4.9,9.43,3.31,58.93,78.21,21.79,6.71,10.01,23.05,17.11,6.03,22.28,14.78,91.44,8.56,78.49,21.51,31.04,68.96,26.08,73.92,64.8,66.73,21.56,0.13,2.18,6.93,2.16,8.92,5.46,2.51,7.39,14.76,27.74,11.92,4.92,4.99,44.41,20.68,22.67,2.32,9.92,10.09,43.72,33.45,12.74,52.9,46.12,6.78,29.31,19.26,8.86,0.95,0.71,0.04,2.9,8.96,0.76,4.41,87.76,25.55,62.21,12.24,44.05,55.95,43.90507498,0.768275384881508
"53","MT",88689,83835,83611,77568,73506,89772,89365,81734,76990,226944,50.32,49.68,7.22,18.48,22.16,41.02,11.12,79.61,8.8,1.49,9.2,0.92,53.4,4.1,11.85,30.65,50.28,6.4,8.39,1.4,33.51,51.7,48.3,2.7,3.89,26.12,24.02,8.21,22.25,12.79,97.32,2.68,90.87,9.13,5.39,94.61,3.99,96.01,68.55,68.71,21.45,0.13,5.93,5.17,1.78,8.28,7.98,0.84,6.43,7.45,27.51,7.82,2.96,17.72,36,23.47,22.96,8.38,9.2,9.96,33.58,43.35,13.12,86.42,80.31,6.1,7.87,0.79,0.96,6.13,0,0.16,0.22,2.24,0.97,2.11,92.59,76.58,16,7.41,39.32,60.68,66.47266215,0.518543238537435
"54","NoA",32757,30266,25542,24046,21804,81819,69749,81047,69178,174615,49.6,50.4,7.65,20.79,25.39,37.12,9.05,4.08,44.71,0.7,49.77,0.74,36.06,11.48,29.41,23.05,32.47,4.55,8.3,3.43,51.23,90.64,9.36,16.21,17.81,31.66,19.2,6.33,6.49,2.29,77.73,22.27,51.77,48.23,26.07,73.93,29.65,70.35,62.58,63.34,22.94,0.37,5.05,19.59,3.23,12.82,6.8,1.61,4.86,8.93,18.71,9.23,5.04,3.75,14.74,25.14,25.36,6.25,28.51,3.25,27.8,48.92,20.03,74.21,60.47,13.73,19.07,15.3,2.91,0.85,0.07,0.02,0.52,2.57,1.58,1.96,87.87,38.37,49.5,12.13,31.94,68.06,42.87562672,0.465769729110796
"55","NN",154238,152210,136669,118941,110292,159358,152057,145752,141469,429524,46.52,53.48,4.64,5.86,44.88,33.93,10.68,73.85,10.66,7.3,5.74,2.45,23.83,1.2,3.77,71.21,32.97,2.63,9.45,0.96,53.98,43.42,56.58,1.29,1.78,6.46,9.7,2.72,43.26,34.82,95.58,4.42,83.19,16.81,13.2,86.8,6.62,93.38,79.86,80.91,15.24,0.15,2.17,5.37,2.31,5.8,2.07,3.84,17.99,28.95,18.64,7.68,3.1,1.94,64.51,8.63,23.24,1.51,2.12,6.05,56.71,27.11,10.13,32.87,28.69,4.18,30.82,14.87,14.48,1.23,3.58,0.1,2.34,22.03,0.83,7.44,89.79,36.14,53.65,10.21,53.38,46.62,55.3433614,0.58305285126609
"56","NO",145006,145148,135506,118786,108104,147213,149861,143396,127941,244442,49.49,50.51,7.09,18.24,22.43,37.22,15.02,46.22,7.94,26.04,17.02,2.77,49.78,4.6,11.54,34.08,50.46,6.75,7.76,1.51,33.54,68.11,31.89,10.36,6.67,20.74,16.68,4.82,26.94,13.75,71.75,28.25,39.54,60.46,17.58,82.42,17.56,82.44,62.14,62.86,23.08,0.24,2.9,9.4,2.47,13.46,7.96,1.37,6.31,9.02,25.05,11.46,7.8,2.57,36.1,21.18,23.4,4.85,14.48,9.33,36.12,41.48,13.06,69.15,58.42,10.73,17.13,11.29,3.73,2.11,0.39,0.17,0.91,7.04,0.82,4.39,88.75,45.06,43.69,11.25,41.18,58.82,46.14579439,0.382399611167498
"57","NP",59678,69427,55332,46920,44186,85503,72508,69095,65016,200243,50.31,49.69,8.5,21.15,28.39,34.77,7.19,7.01,17.17,0.65,74.11,1.06,38.3,9.46,26.31,25.93,35.35,3.98,7.08,3.31,50.28,89.07,10.93,21.51,13.91,32.48,16.55,4.83,8.08,2.64,68.77,31.23,33.22,66.78,28.95,71.05,30.21,69.79,63.57,64.19,22.76,0,5.91,18.62,2.6,12.06,6.4,1.43,4.5,9.4,15.94,14.73,6.04,2.38,15.39,26.19,24.92,8.2,25.29,4.15,33.26,44.69,17.9,69.76,57.68,12.07,20.79,15.7,4.23,0.71,0.06,0.04,1.4,2.98,2.68,2.28,85.34,33.47,51.87,14.66,36.21,63.79,33.52427639,0.432696203436688
"58","OR",139626,119814,101827,93258,87674,106954,108232,99172,87813,293683,49.57,50.43,6.36,15.34,17.9,43.22,17.18,82.1,0.57,5.33,10.03,1.98,53.87,3.82,8.02,34.29,55.81,7.76,8.49,1.64,26.27,72.95,27.05,3.86,4.56,26.02,20.28,7.48,23.11,14.68,84.56,15.44,62.06,37.94,10.37,89.63,4.79,95.21,63.84,64.66,22.56,0.16,5.9,10.76,2.12,9.86,8.97,2.07,7.62,12.79,20.65,7.23,5.17,6.71,36.77,17.62,21.51,8.01,16.09,7.47,38.62,43.95,9.96,82.86,75.38,7.48,10.35,1.32,6.05,2.99,0.1,0,0.21,1.64,1.1,3.75,93.09,69.94,23.15,6.91,36.97,63.03,52.40948688,0.364532471823488
"59","PO",118133,114825,99876,90457,83419,101836,93646,89454,89481,236041,49.53,50.47,7.38,18.67,26.54,38.17,9.23,24.19,1.94,3.3,68.96,1.61,46,8.82,18.2,26.98,42.91,5.1,8.35,3.3,40.35,85.98,14.02,18.5,13.44,30.91,16.57,4.96,10.64,4.98,64.5,35.5,25.95,74.05,17.84,82.16,18.2,81.8,69.52,69.83,20.98,0.15,7.62,16.93,2.95,12.02,6.33,1.69,5.12,10.06,15.95,13.11,5.5,2.57,19.37,25.1,22.59,9.91,23.03,2.96,28.73,48.73,19.58,76.04,61.32,14.72,17.53,12.11,4.28,1.11,0,0.03,0.62,2.29,1.13,2.37,89.56,44.95,44.62,10.44,39.51,60.49,39.54584907,0.450257190236277
"60","PU",25807,25883,23411,21773,17280,80553,73518,78436,70647,117165,43.58,56.42,6.73,18.98,22.43,36.05,15.81,2.31,92.88,0.3,3.95,0.57,23.18,5.83,35.17,35.82,23.79,7.7,12.72,4.36,51.44,86.98,13.02,6.11,12.41,27.96,29.39,7.25,11,5.91,97.88,2.12,95.15,4.85,32.72,67.28,36.9,63.1,54.48,55.12,24.45,0,2.26,5.83,1.26,10.16,11.7,1.97,6.58,10.35,33.1,6.22,3.95,6.62,26.72,27.5,26.69,4.08,15.01,3.41,29.13,40.17,27.29,64.34,55.65,8.69,27.94,19.4,4.92,3.56,0.05,0,0.33,3.71,0.43,3.19,81.09,40.41,40.68,18.91,35.13,64.87,47.68885311,0.870044418231749
"61","PW",45047,47047,43308,38887,37918,NA,NA,NA,NA,440277,47.11,52.89,3.03,2.07,43.58,33.84,17.47,72.51,5.34,13.19,6.7,2.26,26.41,0.94,1.38,71.27,37.89,4.21,9.66,0.44,47.8,28.57,71.43,0.76,0.86,4.55,11.34,2.95,42.34,37.2,94.46,5.54,77.47,22.53,9.97,90.03,3.12,96.88,71.29,71.93,20.01,0.13,1.59,4.79,1.63,5.69,2.79,3.36,20.55,27.04,20.75,5.67,3.66,2.36,66.7,7.02,23.79,0.79,1.7,9.22,59.8,23.08,7.9,26.97,24.57,2.4,22.3,12.15,9.06,1.09,5.58,0,1.1,35.91,0.99,7.15,81.24,31.41,49.83,18.76,59.66,40.34,57.35025272,0.561924041453908
"62","RG",190842,196863,155304,136193,129316,224982,199262,173227,167983,197079,49.67,50.33,6.95,13.47,30.79,39.57,9.22,40.81,22.67,10.52,23.12,2.88,29.11,4.14,11.17,55.59,34.52,4.07,9.69,2.96,48.76,65.75,34.25,9.3,6.07,20.01,17.13,4.52,25.53,17.43,81.82,18.18,56.06,43.94,23.49,76.51,18.03,81.97,68.76,69.61,20.89,0.18,3.64,6.25,1.7,10.74,5.68,2.24,6.31,11.38,28.75,13.76,6.8,2.56,39.57,23.5,21.21,4.44,11.28,7.46,31.97,43.85,16.72,49.43,40.78,8.64,34.64,13.26,16.31,4.58,0.47,0.1,1.86,7.4,1.04,5.07,86.2,27.75,58.45,13.8,39.23,60.77,52.52629236,0.415403996625175
"63","RM",38311,72620,57346,52533,41193,167023,160754,141116,125056,211144,48.5,51.5,8.25,20.03,29.47,34.46,7.79,18.22,55.21,0.9,23.82,1.85,21.23,8.05,28.6,42.12,22.72,5.92,8.54,3.72,59.07,88.18,11.82,8.8,14.2,28.96,20.36,4.63,15.86,7.21,90,10,75.25,24.75,33.13,66.87,39.15,60.85,58.54,61.55,22.51,0.16,3.72,7.59,2.91,10.78,8.25,1.8,6.39,11.88,25.27,12.44,6.26,2.55,30.26,24.74,25.57,5.1,14.32,4.73,39.62,38.43,17.22,58.89,51.26,7.62,26.85,21.28,5,0.28,0.23,0,3.58,4.47,1.52,4.47,82.84,24.19,58.65,17.16,30.31,69.69,41.66875574,0.554438472942921
"64","RO",84755,83108,75176,68912,70980,104244,85272,65238,71517,323436,49.07,50.93,5.45,15.29,17.35,43.89,18.01,82,0.97,4.37,11.22,1.44,52.99,4.36,8.21,34.44,53.11,9.02,7.72,1.24,28.9,60.43,39.57,4.21,4.39,23.49,21.24,7.6,25.09,14.05,89.82,10.18,73.99,26.01,5.32,94.68,3.82,96.18,65.08,65.8,22.25,0.31,6.11,8.56,2.39,8.87,5.76,2.53,8.24,12.71,21.52,7.25,5.14,10.61,39.37,19.36,23.34,7.89,10.05,8.24,35.51,44.03,12.21,81.52,72.25,9.27,11.77,2.67,5.09,4.01,0,0,0.37,2.36,0.58,3.4,92.52,74.55,17.97,7.48,38.21,61.79,54.9908518,0.646240756728351
"65","RS",89642,85743,78582,71714,64809,115236,108388,99513,95037,337408,50.69,49.31,5.12,6.16,53.17,30.53,5.02,52.58,15.06,17.9,12.12,2.34,28.04,2.66,6.74,62.56,32.66,1.88,6.71,1.36,57.37,64.65,35.35,2.44,3.09,7.63,9.17,2.97,38.42,36.26,92.78,7.22,72.47,27.53,19.65,80.35,5.95,94.05,76.66,77.77,17.04,0.11,1.99,5.99,2.27,6.22,2.41,2.3,13.57,23.44,26.07,7.75,3.95,3.93,64.18,10.16,21.53,1.37,2.75,8.64,52.91,27.21,11.23,42.11,36.94,5.16,21.98,12.13,7.01,2.67,1.2,0,2.37,25.93,1.01,5.4,90.22,37.85,52.37,9.78,54.02,45.98,48.51001924,0.498841210759183
"67","SC",59737,54344,45859,46698,40221,81518,74019,72170,64392,159055,48.44,51.56,7.13,21.04,24.7,38.69,8.44,21.42,25.02,0.93,51.59,1.03,51.08,6.97,20.02,21.94,44.28,6,7.54,1.53,40.64,85.38,14.62,14.18,10.07,33.43,20.07,7.33,10.81,4.08,78.39,21.61,48.87,51.13,16.91,83.09,16.58,83.42,65.73,65.86,22.44,0.03,5.54,12.87,3.3,11.22,8.75,1.68,6.05,10.48,18.61,10.03,4.23,7.21,20.02,22.97,26.71,8.51,21.79,4.11,34.9,45.59,15.39,85.86,72.15,13.71,11.4,6.69,3.32,1.34,0,0.17,0.06,1.32,0.08,1.11,93.12,76.98,16.14,6.88,46.69,53.31,47.35070096,0.310356641200452
"68","SH",19818,20988,18023,13035,11559,66547,77392,70749,70100,105060,47.91,52.09,8.9,23.43,25.64,33.13,8.9,3.99,68.1,0.95,25.66,1.3,22.81,10.93,38.29,27.96,22.4,6.67,7.89,4.56,58.49,92.2,7.8,13.46,18.31,36.63,21.47,4.58,4.46,1.12,86.33,13.67,74.45,25.55,44.96,55.04,46.22,53.78,56.99,57.69,24.11,0.42,7.34,11.21,2.95,10.69,8.6,1.05,3.71,10.65,20.72,12.67,6.16,3.82,12.88,30.77,26.18,11.86,18.31,4.26,28.86,43.84,23.03,58.42,50.04,8.38,34.36,26.44,7.85,0.07,0.44,0,0.21,3.82,0,2.75,68.04,27.77,40.27,31.96,31.81,68.19,38.84678258,0.786006307674337
"69","SO",54168,50846,47291,40343,34270,110518,106912,99358,90234,113771,47.34,52.66,8.73,21.49,23.25,34.93,11.6,4.77,54.76,0.27,39.5,0.7,31.96,6.61,27.41,34.02,31.99,6.35,10.53,3.23,47.89,87.27,12.73,13.3,13.98,29.1,24.13,6.11,8.19,5.23,85.14,14.86,62.95,37.06,33.18,66.82,33.54,66.46,57.01,58.01,23.94,0,5.91,11.04,2.13,9.65,7.24,1.6,5.6,9.5,23.66,10.2,7.52,5.96,18.86,29.33,23.21,9.52,19.09,6.5,28.11,43.5,21.89,69.41,56.69,12.72,23.99,17.97,2.2,3.39,0.35,0,0.29,2.16,0.91,2.89,74.88,32.93,41.95,25.12,33.12,66.88,43.55822375,0.54361790302528
"70","SS",41954,51046,39087,47425,41383,101449,92988,118945,110308,175917,44.19,55.81,7.39,16.49,22.59,39.7,13.83,2.13,91.63,0.41,3.9,1.93,15.83,5.11,27.47,51.6,20.17,8.34,13.38,5.13,52.98,77.3,22.7,4.61,10.68,25.44,30.24,7.13,13.18,8.78,97.13,2.87,91.92,8.09,30.84,69.16,36.72,63.28,59.47,60.1,23.73,0.2,2.04,4.34,0.75,9.82,9.68,1.97,7.5,10.62,32.58,9.22,4.75,6.54,29.86,29.53,25.6,3.87,11.13,3.65,31.21,42.45,22.68,58.35,51.46,6.88,32.99,27.04,3.15,2.67,0.59,0,0.17,3.29,0.75,3.87,77.36,20.81,56.55,22.64,36.14,63.86,52.54702561,0.542777805997189
"71","TH",39535,40525,39252,35971,32661,151225,123092,131875,112840,117635,44.48,55.52,7.29,19.13,23.07,36.47,14.03,0.56,96.08,0.15,1.73,1.48,18.34,7.06,38.13,36.47,19.34,8.84,11.32,5.07,55.47,90.32,9.68,4.7,16.05,33.07,27.01,6.98,7.9,4.3,99.35,0.65,97.69,2.31,33.9,66.1,38.5,61.5,54.22,54.64,24.6,0.08,1.67,5.91,1.84,11.57,11.12,2.38,5.79,10.42,29.4,9.32,4.45,6.06,22.16,29.38,29.97,3.6,14.89,2.69,29.75,43.61,23.95,57.07,49.18,7.88,35.03,26.46,7.41,1.11,0.13,0,0.02,2.85,0.96,3.94,78.11,30.11,48,21.89,37.1,62.9,46.84461203,0.688540830443917
"72","TO",135191,123962,105097,86599,78780,104775,94826,74783,108732,144167,49.79,50.21,9.67,22.16,27.1,33.16,7.92,2.16,25.47,0.16,71.91,0.3,41.96,9.71,25.66,22.67,35.65,5.45,4.73,3.9,50.29,90.92,9.08,29.99,16.26,27.94,14.72,4.37,5.27,1.43,65.29,34.71,32.43,67.57,34.21,65.79,36.15,63.85,58.96,59.5,23.88,0.17,6.85,21.14,4.56,11.83,6.07,1.6,3.2,10.66,14.06,12.95,5.02,1.89,11.52,24.82,20.79,10.24,32.64,5.6,35.77,39.02,19.61,70.48,50.98,19.5,16.5,11.05,4.68,0.34,0.19,0,0.38,7.92,1.02,3.51,79.56,30.59,48.97,20.44,37.37,62.63,39.44255982,0.431064124098409
